Inserted 100000 prefixes into trie
match rule 69841, reject
match rule 42226, permit
match rule 36210, permit
match rule 84689, permit
match rule 27620, reject
match rule 51364, permit
match rule 625, permit
match rule 62973, permit
match rule 64461, reject
match rule 24535, reject
match rule 65882, permit
match rule 57468, reject
match rule 20227, reject
match rule 93221, permit
match rule 3456, permit
match rule 13489, permit
match rule 50210, reject
match rule 4447, permit
match rule 39409, permit
match rule 51485, reject
match rule 55773, reject
match rule 1572, reject
match rule 32625, reject
match rule 62461, permit
match rule 22422, permit
match rule 12133, permit
match rule 32625, reject
match rule 45960, reject
match rule 66663, reject
match rule 23265, reject
match rule 38278, reject
match rule 65316, permit
match rule 70051, permit
match rule 59252, permit
match rule 58978, permit
match rule 28024, reject
match rule 20351, reject
match rule 5304, permit
match rule 7078, reject
match rule 71968, reject
match rule 40811, reject
match rule 9912, permit
match rule 94452, reject
match rule 21604, reject
match rule 44087, permit
match rule 47055, permit
match rule 44285, reject
match rule 19564, reject
match rule 13678, reject
match rule 80497, permit
match rule 31321, reject
match rule 28695, permit
match rule 659, permit
match rule 75783, permit
match rule 56353, reject
match rule 42557, reject
match rule 41291, reject
match rule 7907, reject
match rule 63988, permit
match rule 25404, permit
match rule 24935, permit
match rule 16190, reject
match rule 41180, permit
match rule 34161, reject
match rule 50606, reject
match rule 8862, reject
match rule 37953, permit
match rule 23230, permit
match rule 15307, permit
match rule 23070, permit
match rule 11252, reject
match rule 94433, reject
match rule 75811, reject
match rule 19179, reject
match rule 5886, reject
match rule 57642, reject
match rule 54521, reject
match rule 30735, permit
match rule 63215, permit
match rule 71568, permit
match rule 35712, permit
match rule 21337, permit
match rule 23447, permit
match rule 47992, permit
match rule 51288, reject
match rule 15303, permit
match rule 54869, permit
match rule 10525, permit
match rule 7078, reject
match rule 45981, permit
match rule 1710, reject
match rule 63389, reject
match rule 54317, reject
match rule 58156, reject
match rule 65930, permit
match rule 32204, reject
match rule 68452, permit
match rule 58846, permit
match rule 33332, reject
match rule 1203, permit
match rule 54924, permit
match rule 42563, reject
match rule 29933, reject
match rule 9596, permit
match rule 40099, permit
match rule 32388, permit
match rule 25165, reject
match rule 45852, permit
match rule 89177, reject
match rule 57115, permit
match rule 55228, permit
match rule 19139, permit
match rule 24894, reject
match rule 12203, reject
match rule 10243, reject
match rule 7418, permit
match rule 72286, permit
match rule 35632, permit
match rule 40805, permit
match rule 55604, permit
match rule 75618, permit
match rule 47813, permit
match rule 7193, permit
match rule 40874, permit
match rule 42550, permit
match rule 82292, permit
match rule 37578, permit
match rule 73615, permit
match rule 57864, reject
match rule 39759, permit
match rule 22852, reject
match rule 75368, permit
match rule 3903, permit
match rule 37997, permit
match rule 19848, reject
match rule 80012, permit
match rule 1012, permit
match rule 83359, permit
match rule 30490, permit
match rule 8177, reject
match rule 77428, permit
match rule 19311, permit
match rule 18393, reject
match rule 3673, permit
match rule 20823, reject
match rule 1125, reject
match rule 64606, permit
match rule 23067, reject
match rule 41518, reject
match rule 33973, reject
match rule 1734, permit
match rule 40804, permit
match rule 14788, reject
match rule 10938, reject
match rule 57876, permit
match rule 50060, reject
match rule 45009, permit
match rule 90730, permit
match rule 64839, permit
match rule 41686, permit
match rule 66289, reject
match rule 70098, reject
match rule 64520, reject
match rule 73698, permit
match rule 42292, permit
match rule 45320, permit
match rule 45724, permit
match rule 76361, permit
match rule 47581, permit
match rule 37658, reject
match rule 1755, reject
match rule 71224, reject
match rule 19249, permit
match rule 31406, reject
match rule 3054, reject
match rule 10634, reject
match rule 19570, permit
match rule 44811, permit
match rule 26849, reject
match rule 16448, permit
match rule 44306, reject
match rule 21232, permit
match rule 27386, permit
match rule 26425, reject
match rule 61559, permit
match rule 68573, permit
match rule 47014, permit
match rule 25816, permit
match rule 36011, permit
match rule 5082, reject
match rule 42657, permit
match rule 72732, permit
match rule 51534, reject
match rule 5259, permit
match rule 10310, reject
match rule 36030, reject
match rule 31360, reject
match rule 69567, reject
match rule 6774, reject
match rule 27136, reject
match rule 29320, permit
match rule 20823, reject
match rule 57743, permit
match rule 60131, permit
match rule 29999, reject
match rule 38482, permit
match rule 5376, reject
match rule 38715, reject
match rule 31620, permit
match rule 53458, reject
match rule 17868, reject
match rule 46031, reject
match rule 37366, permit
match rule 30756, reject
match rule 62967, reject
match rule 68153, permit
match rule 21506, reject
match rule 66982, permit
match rule 15957, reject
match rule 51739, permit
match rule 48098, reject
match rule 71655, reject
match rule 38065, permit
match rule 77786, reject
match rule 48963, permit
match rule 65598, permit
match rule 30353, permit
match rule 54065, permit
match rule 25992, permit
match rule 47954, permit
match rule 61611, reject
match rule 39613, reject
match rule 7059, permit
match rule 43871, reject
match rule 29780, reject
match rule 87230, permit
match rule 60836, permit
match rule 40398, permit
match rule 11670, reject
match rule 28553, reject
match rule 53835, reject
match rule 48937, reject
match rule 41879, reject
match rule 42735, permit
match rule 50459, reject
match rule 59160, permit
match rule 38446, permit
match rule 32850, permit
match rule 24805, permit
match rule 62485, permit
match rule 14510, permit
match rule 14788, reject
match rule 73615, permit
match rule 9598, permit
match rule 63336, permit
match rule 1371, reject
match rule 13443, permit
match rule 22613, reject
match rule 4357, permit
match rule 33478, permit
match rule 80595, reject
match rule 21461, permit
match rule 72040, reject
match rule 25486, permit
match rule 60330, permit
match rule 26718, reject
match rule 65301, permit
match rule 81222, permit
match rule 10297, reject
match rule 67068, permit
match rule 59479, reject
match rule 23070, permit
match rule 27737, reject
match rule 78588, permit
match rule 49722, permit
match rule 31406, reject
match rule 29401, permit
match rule 67972, permit
match rule 8116, reject
match rule 58398, permit
match rule 11257, reject
match rule 10932, permit
match rule 56666, permit
match rule 11671, reject
match rule 76361, permit
match rule 66982, permit
match rule 37661, permit
match rule 48824, reject
match rule 25505, reject
match rule 11678, permit
match rule 47376, reject
match rule 20137, reject
match rule 54464, reject
match rule 86213, permit
match rule 89755, permit
match rule 72756, reject
match rule 5252, permit
match rule 68496, permit
match rule 31908, permit
match rule 10304, permit
match rule 11759, permit
match rule 6700, permit
match rule 70952, reject
match rule 5376, reject
match rule 6143, reject
match rule 2769, reject
match rule 12434, reject
match rule 61057, permit
match rule 45852, permit
match rule 8079, reject
match rule 82835, permit
match rule 46331, reject
match rule 54583, permit
match rule 80585, reject
match rule 36050, permit
match rule 59252, permit
match rule 54929, permit
match rule 16318, permit
match rule 63971, reject
match rule 29975, reject
match rule 27905, permit
match rule 36640, reject
match rule 7870, reject
match rule 14239, reject
match rule 23877, permit
match rule 42859, reject
match rule 6143, reject
match rule 48634, reject
match rule 14482, permit
match rule 65802, reject
match rule 8830, permit
match rule 2526, permit
match rule 65978, permit
match rule 35146, reject
match rule 29369, permit
match rule 64183, reject
match rule 1231, permit
match rule 54514, permit
match rule 77725, reject
match rule 27276, reject
match rule 63321, reject
match rule 27195, permit
match rule 39927, permit
match rule 40489, permit
match rule 2925, permit
match rule 13892, reject
match rule 27410, permit
match rule 83154, permit
match rule 37686, reject
match rule 3261, reject
match rule 7380, reject
match rule 46688, reject
match rule 13454, permit
match rule 37045, permit
match rule 15693, reject
match rule 23994, reject
match rule 19113, permit
match rule 76672, permit
match rule 35239, reject
match rule 21211, reject
match rule 12915, permit
match rule 852, permit
match rule 50221, permit
match rule 63511, reject
match rule 40854, reject
match rule 24822, reject
match rule 46515, permit
match rule 67887, reject
match rule 80899, reject
match rule 63971, reject
match rule 15632, permit
match rule 31909, permit
match rule 8862, reject
match rule 84531, reject
match rule 26583, reject
match rule 34385, permit
match rule 51559, reject
match rule 9350, permit
match rule 12862, permit
match rule 7490, reject
match rule 88166, permit
match rule 37268, reject
match rule 16190, reject
match rule 10888, permit
match rule 54138, permit
match rule 6986, permit
match rule 28876, reject
match rule 48201, reject
match rule 49927, permit
match rule 21548, permit
match rule 62628, reject
match rule 35663, permit
match rule 31622, permit
match rule 5729, reject
match rule 65595, permit
match rule 72139, reject
match rule 8893, reject
match rule 37304, reject
match rule 40884, reject
match rule 16346, reject
match rule 70619, permit
match rule 2626, reject
match rule 40848, reject
match rule 37723, permit
match rule 75811, reject
match rule 75916, permit
match rule 79038, permit
match rule 22448, reject
match rule 54228, reject
match rule 13304, reject
match rule 29660, reject
match rule 44788, permit
match rule 1232, reject
match rule 42336, reject
match rule 62194, permit
match rule 84904, permit
match rule 34385, permit
match rule 35813, reject
match rule 27427, reject
match rule 30756, reject
match rule 33965, permit
match rule 65066, permit
match rule 7822, permit
match rule 11433, reject
match rule 10250, permit
match rule 8712, permit
match rule 25173, permit
match rule 39659, permit
match rule 33973, reject
match rule 48203, reject
match rule 60661, reject
match rule 30338, reject
match rule 52793, reject
match rule 57147, reject
match rule 57743, permit
match rule 5590, permit
match rule 44961, reject
match rule 40316, reject
match rule 53556, reject
match rule 36455, permit
match rule 6083, permit
match rule 83191, reject
match rule 23447, permit
match rule 8767, reject
match rule 2756, permit
match rule 27905, permit
match rule 55572, reject
match rule 72556, permit
match rule 622, reject
match rule 64766, reject
match rule 39089, reject
match rule 11624, reject
match rule 18325, reject
match rule 38256, permit
match rule 14850, permit
match rule 42623, reject
match rule 33535, permit
match rule 71931, reject
match rule 79980, reject
match rule 8386, reject
match rule 48752, reject
match rule 19925, permit
match rule 7662, permit
match rule 14872, reject
match rule 859, reject
match rule 48201, reject
match rule 5089, permit
match rule 42859, reject
match rule 7364, reject
match rule 7691, reject
match rule 6502, reject
match rule 4922, permit
match rule 75668, permit
match rule 14648, reject
match rule 13607, permit
match rule 1090, reject
match rule 60866, permit
match rule 79509, permit
match rule 81162, permit
match rule 44580, permit
match rule 56448, reject
match rule 94302, reject
match rule 27937, reject
match rule 29894, permit
match rule 22780, reject
match rule 24523, permit
match rule 56470, permit
match rule 43633, permit
match rule 47224, permit
match rule 74145, permit
match rule 2756, permit
match rule 76215, reject
match rule 56146, reject
match rule 47910, reject
match rule 67591, permit
match rule 75378, permit
match rule 37576, reject
match rule 6497, reject
match rule 4579, reject
match rule 58419, permit
match rule 77883, permit
match rule 2998, reject
match rule 44331, permit
match rule 67414, permit
match rule 74205, permit
match rule 18167, reject
match rule 10814, reject
match rule 63336, permit
match rule 1981, reject
match rule 54101, permit
match rule 73908, permit
match rule 66358, permit
match rule 66982, permit
match rule 61560, reject
match rule 18191, permit
match rule 63140, permit
match rule 24303, reject
match rule 67728, permit
match rule 63479, reject
match rule 15122, permit
match rule 74348, permit
match rule 25152, reject
match rule 90627, reject
match rule 35046, reject
match rule 39836, permit
match rule 5901, permit
match rule 1553, permit
match rule 83701, reject
match rule 34201, reject
match rule 50614, reject
match rule 21853, reject
match rule 35343, reject
match rule 71297, reject
match rule 5376, reject
match rule 32280, reject
match rule 62973, permit
match rule 3261, reject
match rule 35254, reject
match rule 3454, reject
match rule 43290, permit
match rule 56825, permit
match rule 26677, permit
match rule 12230, permit
match rule 86578, reject
match rule 69602, permit
match rule 27319, permit
match rule 81405, reject
match rule 14210, permit
match rule 15284, reject
match rule 55184, reject
match rule 62548, permit
match rule 2526, permit
match rule 68910, reject
match rule 14102, reject
match rule 70631, reject
match rule 26042, permit
match rule 70005, reject
match rule 39757, reject
match rule 70962, reject
match rule 83074, permit
match rule 71568, permit
match rule 45029, reject
match rule 83328, reject
match rule 79434, reject
match rule 55263, reject
match rule 16103, permit
match rule 31208, permit
match rule 71568, permit
match rule 39132, permit
match rule 61038, permit
match rule 80002, permit
match rule 53650, permit
match rule 27752, permit
match rule 14857, permit
match rule 13615, reject
match rule 18535, reject
match rule 39117, permit
match rule 4354, reject
match rule 47442, permit
match rule 12856, reject
match rule 41633, permit
match rule 41737, reject
match rule 38054, permit
match rule 39552, permit
match rule 75896, reject
match rule 71599, permit
match rule 19314, permit
match rule 27337, reject
match rule 2526, permit
match rule 34461, permit
match rule 75803, permit
match rule 34208, permit
match rule 81573, reject
match rule 52277, reject
match rule 51521, reject
match rule 33627, reject
match rule 62793, permit
match rule 7600, permit
match rule 33143, reject
match rule 13035, permit
match rule 63140, permit
match rule 30101, reject
match rule 72272, permit
match rule 54497, permit
match rule 43792, permit
match rule 5776, reject
match rule 51194, permit
match rule 72585, reject
match rule 75412, reject
match rule 33579, reject
match rule 70989, reject
match rule 44886, reject
match rule 58257, permit
match rule 33003, reject
match rule 5939, permit
match rule 50609, permit
match rule 29409, reject
match rule 22701, reject
match rule 78136, reject
match rule 54134, reject
match rule 66539, reject
match rule 46031, reject
match rule 55271, reject
match rule 35663, permit
match rule 33253, permit
match rule 38785, permit
match rule 63239, permit
match rule 53620, reject
match rule 50396, reject
match rule 29320, permit
match rule 34128, reject
match rule 24807, reject
match rule 62461, permit
match rule 71342, permit
match rule 36050, permit
match rule 16276, reject
match rule 64194, reject
match rule 76248, permit
match rule 33627, reject
match rule 24919, reject
match rule 62813, reject
match rule 39431, permit
match rule 37828, permit
match rule 77555, permit
match rule 7600, permit
match rule 23994, reject
match rule 16276, reject
match rule 25591, permit
match rule 56680, reject
match rule 65617, permit
match rule 71866, permit
match rule 32772, permit
match rule 63171, reject
match rule 21994, permit
match rule 38431, permit
match rule 21136, reject
match rule 22933, permit
match rule 54031, reject
match rule 9462, permit
match rule 34644, permit
match rule 82746, reject
match rule 4664, reject
match rule 24905, reject
match rule 58316, permit
match rule 7857, permit
match rule 43040, reject
match rule 60814, permit
match rule 23050, reject
match rule 27425, permit
match rule 19570, permit
match rule 6700, permit
match rule 35839, permit
match rule 15919, reject
match rule 10342, reject
match rule 35261, permit
match rule 15207, permit
match rule 5388, reject
match rule 48687, reject
match rule 7353, permit
match rule 4522, permit
match rule 28501, reject
match rule 59509, reject
match rule 45368, reject
match rule 66289, reject
match rule 14722, reject
match rule 18334, permit
match rule 41633, permit
match rule 47851, reject
match rule 64743, reject
match rule 4175, permit
match rule 7465, reject
match rule 60486, reject
match rule 84230, permit
match rule 11084, reject
match rule 2759, permit
match rule 61055, permit
match rule 60114, reject
match rule 29372, permit
match rule 27737, reject
match rule 30015, permit
match rule 12618, permit
match rule 73934, reject
match rule 41703, permit
match rule 87984, permit
match rule 16527, reject
match rule 39534, permit
match rule 17175, reject
match rule 31864, reject
match rule 25327, permit
match rule 36924, reject
match rule 56470, permit
match rule 16190, reject
match rule 41386, reject
match rule 13563, permit
match rule 14812, reject
match rule 36968, permit
match rule 1977, permit
match rule 2899, permit
match rule 3216, permit
match rule 40085, permit
match rule 8712, permit
match rule 34979, reject
match rule 45300, permit
match rule 76523, permit
match rule 19680, reject
match rule 51164, permit
match rule 31112, reject
match rule 5252, permit
match rule 12618, permit
match rule 63511, reject
match rule 69841, reject
match rule 32783, reject
match rule 30732, reject
match rule 74620, permit
match rule 13012, permit
match rule 35457, permit
match rule 51320, permit
match rule 50821, permit
match rule 24807, reject
match rule 75585, permit
match rule 18613, reject
match rule 11776, permit
match rule 12589, permit
match rule 49605, reject
match rule 22627, reject
match rule 36382, permit
match rule 11024, reject
match rule 11571, permit
match rule 68308, permit
match rule 70151, permit
match rule 39001, permit
match rule 9962, permit
match rule 53631, permit
match rule 56680, reject
match rule 76873, permit
match rule 70559, reject
match rule 15650, reject
match rule 1076, permit
match rule 74562, reject
match rule 46657, reject
match rule 63140, permit
match rule 3761, reject
match rule 89292, reject
match rule 12289, permit
match rule 2448, permit
match rule 21644, reject
match rule 39859, reject
match rule 69668, reject
match rule 17175, reject
match rule 30459, permit
match rule 5456, reject
match rule 48854, reject
match rule 21169, permit
match rule 55263, reject
match rule 26938, reject
match rule 15843, reject
match rule 7849, permit
match rule 90944, permit
match rule 20964, reject
match rule 78743, permit
match rule 32414, reject
match rule 38352, permit
match rule 25704, reject
match rule 68199, permit
match rule 45668, permit
match rule 80173, permit
match rule 10002, reject
match rule 56326, permit
match rule 29557, permit
match rule 6461, permit
match rule 3105, permit
match rule 55634, permit
match rule 24577, permit
match rule 77193, reject
match rule 64112, reject
match rule 73480, reject
match rule 40904, permit
match rule 30432, reject
match rule 68153, permit
match rule 34208, permit
match rule 15181, permit
match rule 18, reject
match rule 1763, reject
match rule 46052, reject
match rule 51559, reject
match rule 3962, permit
match rule 15048, permit
match rule 8138, reject
match rule 26583, reject
match rule 28131, reject
match rule 58643, reject
match rule 57886, permit
match rule 18005, reject
match rule 32783, reject
match rule 57886, permit
match rule 13650, permit
match rule 69499, reject
match rule 4896, reject
match rule 84212, permit
match rule 26015, reject
match rule 42100, permit
match rule 58424, reject
match rule 16961, reject
match rule 65167, reject
match rule 72859, reject
match rule 4664, reject
match rule 51559, reject
match rule 2844, reject
match rule 4289, permit
match rule 12543, permit
match rule 31447, reject
match rule 58955, permit
match rule 3252, reject
match rule 84430, reject
match rule 62763, reject
match rule 80083, reject
match rule 23070, permit
match rule 32249, permit
match rule 70729, permit
match rule 19873, permit
match rule 52598, permit
match rule 15053, reject
match rule 69931, permit
match rule 27233, reject
match rule 17359, permit
match rule 13130, reject
match rule 27089, permit
match rule 4888, permit
match rule 2453, permit
match rule 64402, reject
match rule 65899, permit
match rule 73698, permit
match rule 87904, permit
match rule 53411, reject
match rule 2283, permit
match rule 44932, permit
match rule 81405, reject
match rule 4792, permit
match rule 40099, permit
match rule 358, permit
match rule 34806, permit
match rule 73601, reject
match rule 6933, permit
match rule 12250, permit
match rule 27628, reject
match rule 39715, reject
match rule 37686, reject
match rule 22283, permit
match rule 15042, reject
match rule 38446, permit
match rule 25748, permit
match rule 29894, permit
match rule 17607, reject
match rule 19055, reject
match rule 64991, permit
match rule 32388, permit
match rule 55319, reject
match rule 40415, reject
match rule 91250, reject
match rule 31966, reject
match rule 30328, reject
match rule 84434, permit
match rule 55961, permit
match rule 58316, permit
match rule 12289, permit
match rule 3009, reject
match rule 63336, permit
match rule 25785, permit
match rule 65098, reject
match rule 21036, permit
match rule 4552, reject
match rule 34323, reject
match rule 43049, reject
match rule 62900, permit
match rule 28178, permit
match rule 6052, permit
match rule 55574, reject
match rule 78652, reject
match rule 46153, permit
match rule 48160, reject
match rule 66390, permit
match rule 7151, reject
match rule 75641, permit
match rule 62082, reject
match rule 9777, reject
match rule 47065, permit
match rule 78370, reject
match rule 1860, reject
match rule 6675, reject
match rule 60822, permit
match rule 6393, permit
match rule 32911, permit
match rule 29341, permit
match rule 59000, permit
match rule 69043, permit
match rule 19615, permit
match rule 41958, reject
match rule 57070, reject
match rule 53948, reject
match rule 73936, permit
match rule 24283, permit
match rule 73604, reject
match rule 47227, permit
match rule 54583, permit
match rule 64473, permit
match rule 42226, permit
match rule 94452, reject
match rule 59252, permit
match rule 59479, reject
match rule 78553, reject
match rule 25371, reject
match rule 32387, permit
match rule 8899, reject
match rule 2888, reject
match rule 74400, reject
match rule 52662, reject
match rule 82835, permit
match rule 78782, reject
match rule 55458, permit
match rule 44324, reject
match rule 85235, permit
match rule 4028, permit
match rule 14783, permit
match rule 89038, permit
match rule 1643, reject
match rule 25262, reject
match rule 6587, reject
match rule 7893, permit
match rule 40532, permit
match rule 33074, reject
match rule 44580, permit
match rule 344, permit
match rule 34202, permit
match rule 64361, permit
match rule 7395, reject
match rule 18535, reject
match rule 1180, permit
match rule 8767, reject
match rule 59858, permit
match rule 6502, reject
match rule 10002, reject
match rule 6205, permit
match rule 32717, reject
match rule 9973, permit
match rule 54317, reject
match rule 24303, reject
match rule 87068, permit
match rule 36308, reject
match rule 32553, reject
match rule 25134, permit
match rule 15828, reject
match rule 18083, reject
match rule 67414, permit
match rule 13832, reject
match rule 1860, reject
match rule 40915, reject
match rule 28438, reject
match rule 58316, permit
match rule 16448, permit
match rule 76523, permit
match rule 80002, permit
match rule 55972, reject
match rule 29767, permit
match rule 37997, permit
match rule 47901, reject
match rule 32174, reject
match rule 41704, reject
match rule 47337, permit
match rule 5393, reject
match rule 18908, permit
match rule 27737, reject
match rule 35663, permit
match rule 19863, reject
match rule 33067, permit
match rule 70915, permit
match rule 26064, permit
match rule 56024, reject
match rule 35648, reject
match rule 5663, reject
match rule 36165, permit
match rule 13282, reject
match rule 10798, reject
match rule 63163, reject
match rule 2398, reject
match rule 45793, permit
match rule 4664, reject
match rule 51351, permit
match rule 10520, permit
match rule 43116, permit
match rule 811, reject
match rule 40874, permit
match rule 37795, reject
match rule 66775, reject
match rule 70729, permit
match rule 51024, permit
match rule 54992, reject
match rule 17670, permit
match rule 48231, permit
match rule 63336, permit
match rule 6995, permit
match rule 47905, reject
match rule 47370, reject
match rule 23284, reject
match rule 28105, reject
match rule 4472, permit
match rule 31869, reject
match rule 13211, reject
match rule 52243, reject
match rule 84819, permit
match rule 24717, permit
match rule 45852, permit
match rule 39766, reject
match rule 48209, reject
match rule 39927, permit
match rule 87230, permit
match rule 17042, permit
match rule 12684, permit
match rule 47209, reject
match rule 63971, reject
match rule 79806, permit
match rule 3454, reject
match rule 32212, reject
match rule 23070, permit
match rule 9988, reject
match rule 37580, reject
match rule 13800, permit
match rule 27273, permit
match rule 8662, reject
match rule 23629, permit
match rule 14239, reject
match rule 72664, reject
match rule 53002, permit
match rule 37072, reject
match rule 47986, permit
match rule 26229, reject
match rule 35097, permit
match rule 28276, reject
match rule 71297, reject
match rule 242, permit
match rule 1860, reject
match rule 42462, reject
match rule 51374, reject
match rule 44722, reject
match rule 30317, permit
match rule 33478, permit
match rule 49360, reject
match rule 49245, reject
match rule 5258, permit
match rule 41291, reject
match rule 21926, reject
match rule 55350, reject
match rule 29792, permit
match rule 43871, reject
match rule 32976, reject
match rule 29401, permit
match rule 28403, permit
match rule 80227, permit
match rule 75093, permit
match rule 68045, permit
match rule 17995, permit
match rule 51963, permit
match rule 23588, permit
match rule 659, permit
match rule 1560, permit
match rule 29940, permit
match rule 59556, reject
match rule 14547, permit
match rule 63182, permit
match rule 69921, reject
match rule 30432, reject
match rule 25245, permit
match rule 21604, reject
match rule 70872, permit
match rule 20418, reject
match rule 27488, permit
match rule 48653, permit
match rule 62062, permit
match rule 31922, reject
match rule 18643, permit
match rule 23050, reject
match rule 8658, permit
match rule 18174, permit
match rule 28154, reject
match rule 37343, permit
match rule 51528, permit
match rule 76764, reject
match rule 44080, permit
match rule 31353, reject
match rule 26185, reject
match rule 3937, reject
match rule 84854, permit
match rule 14399, reject
match rule 19314, permit
match rule 43309, reject
match rule 47905, reject
match rule 24699, reject
match rule 79038, permit
match rule 68045, permit
match rule 44014, permit
match rule 60822, permit
match rule 89038, permit
match rule 15053, reject
match rule 24919, reject
match rule 75378, permit
match rule 11759, permit
match rule 80386, permit
match rule 11901, permit
match rule 2691, reject
match rule 51155, permit
match rule 42292, permit
match rule 19925, permit
match rule 49163, permit
match rule 33627, reject
match rule 6693, reject
match rule 2905, reject
match rule 9489, reject
match rule 6416, permit
match rule 82565, reject
match rule 87521, reject
match rule 28403, permit
match rule 47986, permit
match rule 784, reject
match rule 37584, reject
match rule 31437, permit
match rule 11107, permit
match rule 13824, reject
match rule 2888, reject
match rule 54514, permit
match rule 30936, permit
match rule 39613, reject
match rule 3147, reject
match rule 90931, permit
match rule 83596, permit
match rule 67615, reject
match rule 51448, permit
match rule 17175, reject
match rule 10401, reject
match rule 14096, permit
match rule 7094, permit
match rule 46311, permit
match rule 86084, permit
match rule 65167, reject
match rule 14239, reject
match rule 27135, permit
match rule 27447, permit
match rule 30936, permit
match rule 23015, reject
match rule 12610, permit
match rule 56298, permit
match rule 40368, permit
match rule 24188, reject
match rule 63511, reject
match rule 4893, permit
match rule 30916, permit
match rule 58522, permit
match rule 23530, permit
match rule 25870, permit
match rule 20764, permit
match rule 61979, reject
match rule 40122, reject
match rule 42831, reject
match rule 42563, reject
match rule 80998, permit
match rule 6402, permit
match rule 59762, permit
match rule 24309, permit
match rule 73936, permit
match rule 94452, reject
match rule 63999, permit
match rule 78553, reject
match rule 6511, permit
match rule 67549, reject
match rule 74998, reject
match rule 64117, permit
match rule 6781, permit
match rule 8663, reject
match rule 44722, reject
match rule 47831, reject
match rule 39852, permit
match rule 2939, reject
match rule 80639, reject
match rule 1293, reject
match rule 5252, permit
match rule 44143, reject
match rule 30432, reject
match rule 20222, reject
match rule 14498, permit
match rule 23627, reject
match rule 67893, reject
match rule 30764, reject
match rule 34711, reject
match rule 41721, permit
match rule 7345, reject
match rule 50278, reject
match rule 22527, permit
match rule 24261, reject
match rule 83690, reject
match rule 46331, reject
match rule 11249, permit
match rule 19564, reject
match rule 14011, permit
match rule 6496, reject
match rule 46331, reject
match rule 81573, reject
match rule 8300, reject
match rule 56197, permit
match rule 622, reject
match rule 38446, permit
match rule 7795, permit
match rule 48389, permit
match rule 56326, permit
match rule 42597, permit
match rule 72272, permit
match rule 48854, reject
match rule 12640, permit
match rule 58398, permit
match rule 52885, reject
match rule 39752, reject
match rule 46814, permit
match rule 10297, reject
match rule 12677, reject
match rule 38224, reject
match rule 40204, reject
match rule 76523, permit
match rule 63812, permit
match rule 40024, permit
match rule 65595, permit
match rule 52568, permit
match rule 48236, permit
match rule 7040, reject
match rule 54654, permit
match rule 7052, permit
match rule 43137, reject
match rule 34006, permit
match rule 18741, reject
match rule 91191, permit
match rule 631, permit
match rule 13903, permit
match rule 21604, reject
match rule 62257, permit
match rule 42843, permit
match rule 57886, permit
match rule 59694, permit
match rule 21908, reject
match rule 32911, permit
match rule 28024, reject
match rule 40081, permit
match rule 63812, permit
match rule 46179, reject
match rule 11000, permit
match rule 70095, permit
match rule 7395, reject
match rule 36210, permit
match rule 56247, permit
match rule 20347, permit
match rule 68064, reject
match rule 13079, reject
match rule 66281, permit
match rule 43967, reject
match rule 3009, reject
match rule 28753, reject
match rule 56337, reject
match rule 82855, permit
match rule 24001, permit
match rule 34385, permit
match rule 28753, reject
match rule 48098, reject
match rule 22423, permit
match rule 54464, reject
match rule 36004, reject
match rule 95224, reject
match rule 43708, reject
match rule 8124, permit
match rule 70098, reject
match rule 48762, permit
match rule 24524, reject
match rule 17518, permit
match rule 3956, reject
match rule 81378, reject
match rule 74798, reject
match rule 72049, permit
match rule 64471, reject
match rule 48511, permit
match rule 38136, reject
match rule 50459, reject
match rule 56586, reject
match rule 1850, permit
match rule 54546, permit
match rule 61533, reject
match rule 19873, permit
match rule 66222, permit
match rule 8860, reject
match rule 69790, permit
match rule 3477, reject
match rule 83701, reject
match rule 16249, permit
match rule 78652, reject
match rule 19873, permit
match rule 37997, permit
match rule 54464, reject
match rule 30080, permit
match rule 8674, reject
match rule 68467, reject
match rule 1914, permit
match rule 21542, permit
match rule 37287, reject
match rule 53527, reject
match rule 42623, reject
match rule 42573, reject
match rule 14648, reject
match rule 55338, reject
match rule 76843, reject
match rule 82350, reject
match rule 12038, permit
match rule 40286, reject
match rule 21535, permit
match rule 10310, reject
match rule 71942, reject
match rule 53650, permit
match rule 50499, reject
match rule 631, permit
match rule 30258, permit
match rule 71224, reject
match rule 42573, reject
match rule 39188, reject
match rule 55280, reject
match rule 3234, permit
match rule 41683, permit
match rule 3625, permit
match rule 84904, permit
match rule 6941, reject
match rule 35343, reject
match rule 62628, reject
match rule 58900, permit
match rule 25816, permit
match rule 84511, permit
match rule 11381, permit
match rule 26439, reject
match rule 64117, permit
match rule 3261, reject
match rule 65595, permit
match rule 40799, permit
match rule 35713, reject
match rule 30048, reject
match rule 68267, permit
match rule 45763, reject
match rule 77428, permit
match rule 58974, reject
match rule 1522, permit
match rule 72286, permit
match rule 8838, reject
match rule 19564, reject
match rule 21775, permit
match rule 50132, reject
match rule 7144, reject
match rule 41905, permit
match rule 18591, permit
match rule 39766, reject
match rule 50627, reject
match rule 13278, permit
match rule 1102, permit
match rule 69520, permit
match rule 68045, permit
match rule 55879, reject
match rule 30750, permit
match rule 76538, reject
match rule 40139, permit
match rule 84360, reject
match rule 26080, reject
match rule 40143, permit
match rule 82876, permit
match rule 27993, permit
match rule 80585, reject
match rule 76764, reject
match rule 8862, reject
match rule 19249, permit
match rule 31562, reject
match rule 59581, reject
match rule 31966, reject
